user_id,recommendations
0,8404 4512 19 13261 13307 9759 20 1583 4565 13903
1,9913 1292 7926 2099 7525 3409 5281 9305 10712 3475
2,9913 7525 11485 15067 3409 9923 851 5567 10673 10014
3,5754 11562 11556 11561 10372 10370 3596 10371 3595 5217
4,43 1737 8796 1014 3453 226 1051 5925 2072 4284
5,8201 126 167 4305 1439 1300 1447 458 1196 821
6,3859 12566 10867 9716 1269 6494 4170 10257 9805 1680
7,6143 850 1439 11580 419 7246 504 2024 9246 4825
8,4022 6094 4023 13921 2239 12984 6224 1263 12705 5704
9,8332 12860 7848 15125 12753 9978 13741 2976 11552 10205
10,2272 10583 4540 4097 4099 4098 4106 2672 8340 4111
11,5166 10591 5167 1036 1035 12717 4305 8135 3749 14646
12,612 13705 12389 8148 7525 6771 5247 618 5708 7978
13,8314 502 15198 11183 11587 5023 2687 2249 5110 10912
14,8580 13335 11229 9892 8604 12288 9220 9346 12312 434
15,8460 12879 4630 8077 7739 11762 709 11769 3953 1753
16,14882 14985 9784 15259 362 11122 15094 12098 15258 14755
17,9337 6004 8307 8305 12780 10905 3613 9781 14144 641
18,12288 12312 3243 9892 13246 1494 13335 14900 12112 14807
19,2153 3233 7538 3775 5625 2811 10380 9913 3894 5982
20,9626 5849 8159 11624 4139 9643 1723 10988 2999 1155
21,13187 1166 4330 14712 3464 1535 7396 11899 13006 2820
22,10764 11303 8842 4503 14724 13542 2431 10108 1424 13772
23,488 1439 5549 1646 5270 5066 11383 2798 5972 6577
24,6820 14727 3798 8229 14808 10146 4844 2434 13769 8228
25,198 4511 4354 13847 9443 10289 94 7462 2687 13168
26,4399 5625 10877 14616 365 6109 4400 73 8057 366
27,7521 10042 7520 10374 15270 2918 9215 12547 12546 2931
28,1392 5466 991 2215 7364 7360 3948 4341 9096 9152
29,7198 6929 4327 2342 9457 6678 8280 8995 597 3382
30,287 1680 6503 2287 7525 6623 12566 13267 5909 6494
31,1404 171 2305 5549 168 4468 2448 11081 6013 503
32,645 13589 3395 12188 10684 9558 9770 14918 9766 4652
33,12713 5455 8314 11183 8964 3888 9071 9251 6418 9596
34,13921 624 686 4798 706 1902 5704 12705 662 712
35,13577 6951 3323 2906 4747 11074 2732 11888 2900 10683
36,12389 4697 11031 1764 7220 4171 7572 6780 1680 1597
37,672 4145 11625 9627 5451 5847 10368 395 12730 5839
38,14136 6725 8726 11405 11366 13079 11877 7844 8590 5268
39,13993 14561 15096 14895 14500 14449 1133 14927 13112 14495
40,11877 693 8726 6725 11405 2080 11366 6717 12993 13079
41,1439 5549 5270 5972 5066 11383 2798 6375 463 504
42,4271 8403 12084 1047 2764 1901 6317 821 5069 3555
43,6082 14754 12955 12956 4631 7870 12957 12902 6060 8126
44,4296 1632 8129 6484 2850 13832 2108 3878 5385 6485
45,12559 12558 12946 12231 12944 977 9880 12943 2856 2196
46,13111 1013 2870 7065 10843 13984 10750 7066 9749 4398
47,2072 226 3453 1737 8796 43 6433 3749 5424 5790
48,2587 7349 11274 6298 6185 11055 9805 6617 12566 12207
49,1124 9394 5248 9239 5249 3428 284 9393 1380 5247
50,7441 5304 5 12975 5634 5404 11668 14159 14035 9482
51,12376 1723 12378 1775 5686 6542 4407 1721 1776 7784
52,3398 9356 13063 5836 4345 3381 2473 5217 137 9591
53,14712 3464 7396 2741 404 4330 403 1531 13006 12742
54,5601 8321 709 3953 12879 4630 6774 7618 10109 6492
